Index,Category,Content,Category_Id
1,Input Devices,"ব্যবহারকারী যে তথ্য কম্পিউটারে ঢোকাতে চান, কম্পিউটার তা গ্রহণ করে। তার পর ব্যবহারকারীর নির্দেশমতো ঐ তথ্যগুলিকে ব্যবহার করে কম্পিউটার তার করণীয় কাজ সেরে ফেলে। 
যে সব যন্ত্রাংশের মাধ্যমে এক জন ব্যবহারকারী কম্পিউটারে তথ্য ঢোকাতে পারেন ও কম্পিউটারকে প্রয়োজনীয় নির্দেশ দিতে পারেন, সেগুলিকে বলে ইনপুট ডিভাইস।
 যেমন, কি বোর্ড, মাউস, অপটিকাল ক্যারেকটার রিডার (ও সি আর), ম্যাগনেটিক ইঙ্ক ক্যারেকটার রিডার (এম আই সি আর) ইত্যাদি। এখানে মূল দুটি ইনপুট ডিভাইস সম্পর্কে আলোচনা করা হল।",0
2,Input Devices," কি বোর্ড - এটি এমন একটি ইনপুট ডিভাইস, যার সাহায্যে কম্পিউটারের মধ্যে সরাসরি কোনও তথ্য ঢুকিয়ে দেওয়া যায়। টাইপরাইটার যন্ত্রটির সাহায্যে যেমন টাইপ করা যায়, বিভিন্ন নির্দেশও পাঠানো যায়। কি বোর্ডে অনেকগুলি বাটন বা বোতাম থাকে, এগুলির উপরে সাধারণত ইংরাজি বর্ণমালা মুদ্রিত থাকে এবং তার বিন্যাস টাইপরাইটারেরই অনুরূপ। এটি সর্বাধিক ব্যবহৃত ইনপুট ডিভাইস।
এর কিছু বৈশিষ্ট্য নীচে উল্লেখ করা হল। এর মাধ্যমে সরাসরি তথ্যকে কম্পিউটারে ঢোকানো যায়। মূল কম্পিউটার থেকে দূরে কি বোর্ড রেখে কাজ করা সম্ভব। কারণ, মূল কম্পিউটারের সঙ্গে তারের মাধ্যম যুক্ত থাকে কি বোর্ড।
এটি ব্যবহারকারী ও কম্পিউটারের মধ্যে সংযোগ স্থাপন করে অর্থাৎ ব্যবহারকারী যে ভাবে কম্পিউটার ব্যবহার করতে চান, কি বোর্ড তা কম্পিউটারকে জানিয়ে দেয়। কি বোর্ডে এন্টার লেখা একটি বাটন থাকে। 
প্রয়োজনীয় নির্দেশ কি বোর্ডের মাধ্যমে টাইপ করে ঐ বাটনটি টিপলেই তা পালন করতে শুরু করে কম্পিউটার। সুতরাং ব্যবহারকারী ও কম্পিউটারের মধ্যে ক্রিয়া প্রতিক্রিয়ার মাধ্যম হলো কি বোর্ড। এটির ব্যবহারিক ব্যয়ও কম।",0
3,Input Devices,"মাউস - এটি একটি ইনপুট ডিভাইস হলেও পয়েন্টার ডিভাইসও বলা হয়। কম্পিউটার চালু করলে তার পর্দায় তীর চিহ্নের চেহারার একটি পয়েন্টার বা নির্দেশকে দেখা যায়, যাকে বলা হয় মাউস পয়েন্টার। মাউসের নাড়াচাড়ার মাধ্যমে এটির অবস্থান পরিবর্তন করা সম্ভব।
 সাধারণত মূল কম্পিউটারের পাশে একটি প্যাডের উপর মাউসটি রাখা থাকে। এটিও কম্পিউটারের সঙ্গে যুক্ত থাকে তারের মাধ্যমে। যে হেতু হাতে ধরে মাউসটিকে ব্যবহার করতে হয়, তাই এটির আকৃতি হাতে ধরার উপযোগী করা হয়ে থাকে।
প্রত্যেক মাউসের উপরের তলে সাধারণত দু’টি বোতাম থাকে। বাঁ দিকে একটি, ডান দিকে একটি। বাঁ দিকের বোতামকে এক বার টিপলে তাকে বলা হয় ক্লিক করা। ডান দিকের বোতামটি এক বার টিপলে তাকে বলে রাইট ক্লিক। 
বাঁ দিকের বোতামটি ক্লিক করে আমরা কম্পিউটারের পর্দায় দৃশ্যমান কোনও কিছুকে বেছে নিতে পারি। ডান ডিকের বোতামটি এক বার ক্লিক করলে সাধারণত একটি মেনু বা তালিকা পাওয়া যায়। সেই তালিকায় নানা রকম কাজ সম্পাদনের সুযোগের নাম থাকে। 
যেমন, কাট, কপি, পেস্ট, সেন্ড টু, প্রপার্টিজ ইত্যাদি। সেখান থেকে আমরা প্রয়োজনমতো কাজ সম্পাদন করতে পারি মাউসের সাহায্যেই। মাউসের বাঁ দিকের বোতামটি দ্রুত পর পর দু’ বার ক্লিক করেও কিছু কিছু কাজ সম্পাদন করা যায়। 
এই প্রক্রিয়াটিকে কম্পিউটারের পরিভাষায় বলে ডবল ক্লিক। সাধারণত কোনও কম্পিউটারে বিভিন্ন তথ্য সংবলিত কোনও ফোল্ডার খোলার জন্য এই প্রক্রিয়া অনুসরণ করা হয়। উইন্ডোজ 7 শীর্ষক অধ্যায়ে এ সম্পর্কে বিস্তারিত জানার সুযোগ থাকছে। 
মাউসের আরও একটি ব্যবহার হলো, এর সাহায্যে কম্পিউটারের পর্দায় দৃশ্যমান কোনও কিছুকে এক স্থান থেকে অন্য স্থানে নিয়ে যাওয়া যায়। এই প্রক্রিয়াকে কম্পিউটারের পরিভাষায় বলা হয় ড্র্যাগিং।
 যেটিকে কম্পিউটারের ভাষায় এক জায়গা থেকে অন্য জায়গায় নিয়ে যেতে হবে, সেটির উপর মাউস পয়েন্টারটিকে প্রথমে নিয়ে যেতে হবে।
 এ বার মাউসের বাঁ দিকের বোতামে এক বার ক্লিক করে বোতামটি চেপে রেখে মাউসটিকে নাড়াচাড়ার মাধ্যমে পয়েন্টারটিকে পছন্দের জায়গায় নিয়ে গিয়ে বোতামটিকে ছাড়তে হবে।  তা হলেই নতুন জায়গা ঐ বস্তুটি স্থানান্তরিত হবে।",0
4,Input Devices,"অপটিক্যাল ক্যারেক্টার রিকগনিশন (সাধারণত ওসিআর নামে ডাকা হয়) হাতে লেখা বা টাইপরাইটারে টাইপকৃত লেখার ছবিকে (সাধারণত স্ক্যানার দিয়ে স্ক্যান করা) কম্পিউটারে সম্পাদনাযোগ্য লেখায় অনূদিত করার যান্ত্রিক বা ইলেকট্রনিক পদ্ধতিকে বুঝায়। 
কম্পিউটার বিজ্ঞানের যে শাখাগুলো ওসিআর'র সাথে সম্পর্কিত সেগুলো হচ্ছে: প্যাটার্ন রিকগনিশন, কৃত্রিম বুদ্ধিমত্তা এবং যান্ত্রিক দর্শন (মেশিন ভিশন)। 
বাংলাতে গুগল টেসারাকট এর অপ্টিকাল ক্যারেক্টার রেকগনিশন আছে কিন্তু সেটি খুবি দুর্বল এবং ছাপা হরফের জন্য প্রযোজ্য। ২০০৭ সালে সি.আর.বি.এল.পি ল্যাব বাংলার জন্য এটি বানানোর একটি প্রচেষ্টা শুরু করে গুগল এর সহায়তায়ে। 
এর পর বাংলাদেশ ও ভারতে অনেক বিশ্ববিদ্যালায় এবং গবেষণাগারে এটির গবেষণার কাজ এখনো চলছে।বাংলা ভাষা হল জটিল ভাষা, এতে যুক্তাক্ষর এবাং মাত্রার ব্যবহার আছে, বাংলার ন্যায় হিন্দিতেও এবং বিশ্বের আরও অনেক ভাষাতে যুক্তাক্ষর এবং জটিলতা আছে। তাই অনেক সময় কম্পিউটার এর পক্ষে কঠিন হয়ে পরে সেটিকে বুঝতে।",0
5,Input Devices,"একটি জয়স্টিক হল একটি ইনপুট ডিভাইস যাতে একটি স্টিক বা লাঠি সদৃশ বস্তু যন্ত্রের উপরিভাগে বসানো থাকে যা দিয়ে বিভিন্ন কোন বা অভিমুখে এর দ্বারা নিয়ন্ত্রিত কোন যন্ত্রকে পরিচালনা করা যায়।
 জয়স্টিককে নিয়ন্ত্রক কলাম নামেও ডাকা হয় যা প্রায় সমস্ত সামরিক ও বেসামরিক বিমানের ককপিটে ব্যবহার করা হয়। এগুলো পাশ্ব স্টিক বা কেন্দ্রীয় স্টিক হিসেবে ব্যবহৃত হয়। এগুলোর আবার কিছু বাড়তি সুইচ থাকে যা বিমান পরিচালনায় সহায়তা করে থাকে।
জয়স্টিক প্রায়শই ভিডিও গেম নিয়ন্ত্রণ ও পরিচালনায় ব্যবহৃত হয় এবং সাধারণত এক বা একাধিক চাপ দেয়া যায় এমন বাটন হিসেবে থাকে। এই সব বাটনে চাপ দিলে কি ফলাফল হবে তা কম্পিউটার বুঝতে পারে। 
এই জয়স্টিকের অন্য একটি জনপ্রিয় রূপ হল আধুনিক ভিডিও গেম কনসোলে ব্যবহৃত এ্যানালগ স্টিক। জয়স্টিক অনেক যন্ত্রে ব্যবহৃত হয় যেমন ক্রেন, ট্রাক, জলের তলার মানুষবিহিন যানবাহন, হুইলচেয়ার, নিরাপত্তা ক্যামেরা এবং ঘাস কাটার যন্ত্র ইত্যাদি। মোবাইল ফোনে জয়স্টিকের ক্ষুদ্রতম সংস্করন দেখা যায়।",0
6,Input Devices,"স্ক্যানার কোন ছবি বা লেখা হুবুহু ডিজিটাল ডাটায় বা কম্পিউটারে সংরক্ষণের জন্য ব্যবহৃত যন্ত্র। বর্তমানে ডিজিটাল ক্যামেরা আসার পূর্বে ছাপা কোন তথ্য কম্পিউটারে সংরক্ষণের এটি ছিল একমাত্র সমাধান।
এতে ফটেকপি মেশিনের মত একটি কাচের উপর নির্দিষ্ট ছবি বা কাগজটিকে কাচের দিকে মুখ করে রেখে এর ঢাকণাটি দিয়ে ঢেকে দেয়া হয়। 
পরে নির্দিষ্ট বাটন/ কমান্ড দেয়ার পর এর কাচের নিচে থাকা একটি আলো প্রক্ষেপনকারি বাল্ব পুরো কাগজটিকে আলোকিত করে যায়। অর্থাৎ এই আলো ফেলার মাধ্যমে এটি কাগজের তথ্য সমূহকে পড়ে ফেলে ও বৈদ্যুতিক তরঙ্গ হিসেবে মনিটরে প্রদর্শন করে।
 প্রথমবার একটি প্রাকদর্শন দেখায় এতে ব্যবহারকারি তার প্রয়োজন নির্দিষ্ট করন করার পর স্ক্যান নির্দেশ দিয়ে কাগজের তথ্যটি চূড়ান্ত ভাবে কম্পিউটারে সংরক্ষণের জন্য উপস্থাপন করে। 
 এরপর ব্যবহারকারি তার প্রয়োজন অনুযায়ী নাম ও স্থান ঠিক করে এটিকে সংরক্ষণ করেন।",0
7,Input Devices,"মাইক্রোফোন এক ধরনের যন্ত্র, যাকে কথ্য ভাষায় মাইক ও বলা হয়ে থাকে। এটি এক ধরনের সেন্সর হিসেবে কাজ করে, যা শব্দ শক্তিকে তড়িৎশক্তিতে রুপান্তর করে। 
কম্পিউটার, মোবাইল ফোন, অডিও রেকর্ডার, শ্রবণ সহায়ক যন্ত্র, মেগাফোন, রেডিও বা টেলিভিশন সম্প্রচার কেন্দ্র ইত্যাদি ক্ষেত্রে এর বহুল ব্যবহার পরিলক্ষিত হয় ।
আধুনিক কালের বেশির ভাগ মাইক্রোফোনই তড়িৎ-চুম্বকীয় আবেশ, ক্যাপাসিট্যান্সের পরিবর্তন, পিজোইলেক্ট্রিক ইফেক্ট অথবা বাতাসের চাপের পার্থক্য ব্যবহার করে ইলেকট্রিক সিগনাল তৈরী করে।",0
8,Input Devices,"ওয়েবক্যাম হলো বিশেষ ধরনের ভিডিও ক্যামেরা যা একটি কম্পিউটারের সাথে ইউএসবির মাধ্যমে যুক্ত হয়ে ইন্টারনেটে ভিডিও আদান-প্রদান করতে পারে। 
১৯৯১ সালে কেমব্রিজ বিশ্ববিদ্যালয় এ ওয়েবক্যাম আবিষ্কার হয়। একুশ শতক থেকে ল্যাপটপ নির্মাতা প্রতিষ্ঠানগুলো ল্যাপটপেই ওয়েবক্যাম যুক্ত করা শুরু করেছে।
ওয়েবক্যামে লেন্স, ইমেজ সেন্সর ও মাইক্রোফোন থাকে। ওয়েবক্যামে সাধারণত চার্জ কাপল্‌ড ডিভাইস বা কপ্লিমেন্টারি মেটাল-অক্সাইড-সেমিকন্ডাক্টর সেন্সর ব্যবহার করা হয়, তবে সস্তা হওয়ার কারণে কপ্লিমেন্টারি মেটাল-অক্সাইড-সেমিকন্ডাক্টর অধিক ব্যবহার করা হয়।
ওয়েবক্যাম বা ওয়েব ক্যামেরা হচ্ছে এক ধরনের ভিডিও ক্যামেরা, যা বাস্তব সময়ের ভিডিও ধারণ করে এবং একটি কম্পিউটার নেটওয়ার্কের মাধ্যমে তা কোনো মনিটরে প্রদর্শন করে৷ বাস্তব সময়ের ভিডিও চিত্র ধারণের পর তা ব্যবহারকারী নিজে দেখতে পারে অথবা ইমেইল ইত্যাদির মাধ্যমে অন্য কোথাও প্রেরণ করতে পারে৷ আই পি ক্যামেরা(যা সাধারণত ইথারনেট বা ওয়াই-ফাই এর মাধ্যমে সংযুক্ত হয়), যেভাবে মূল সিস্টেমের সাথে সংযু্ক্ত হয়ে থাকে, ওয়েবক্যাম সেভাবে যুক্ত না হয়ে সাধারণত ইউএসবি ক্যাবলের মাধ্যমে যুক্ত হয়ে থাকে৷",0
9,Input Devices,"একটি টাচস্ক্রিন, বা স্পর্শ পর্দা, একটি ইনপুট ডিভাইস এবং সাধারণত একটি তথ্য প্রক্রিয়াকরণের সিস্টেমের বৈদ্যুতিক দৃশ্যনীয় ডিসপ্লের উপরে স্তর। 
একজন ব্যবহারকারী একটি বিশেষ লেখনী বা এক বা একাধিক আঙ্গুল দিয়ে স্ক্রীন স্পর্শ করে সহজ বা বহু-স্পর্শ অঙ্গভঙ্গিগুলির মাধ্যমে ইনপুট সরবরাহ করতে পারে বা তথ্য প্রক্রিয়াকরণ পদ্ধতি নিয়ন্ত্রণ করতে পারে ।[
কিছু সেন্সর সাধারণ বা বিশেষভাবে লেপা গ্লাভসকে কাজ করার জন্য ব্যবহার করে এবং অন্যরা শুধুমাত্র বিশেষ লেখনী বা কলম ব্যবহার করে কাজ করতে পারে। ব্যবহারকারী কী প্রদর্শিত হয় তার প্রতি প্রতিক্রিয়া জানাতে টাচস্ক্রীন ব্যবহার করতে পারে এবং সফ্টওয়্যার যদি এটি কীভাবে প্রদর্শিত হয় তা নিয়ন্ত্রণ করতে দেয়; উদাহরণস্বরূপ, জুম করে কোনো লেখার আকার বৃদ্ধি।
টাচস্ক্রীনটি মাউস , টাচপ্যাড , বা অন্যান্য ডিভাইসগুলির (স্টাইলাস ব্যতীত, যা বেশিরভাগ আধুনিক টাচস্ক্রিন এর জন্য ঐচ্ছিক) ব্যবহার করার পরিবর্তে প্রদর্শিত হয় তার সাথে সরাসরি যোগাযোগ করতে সক্ষম করে ।",0
10,Input Devices,"একটি লাইট পেন হল একটি কম্পিউটার ইনপুট যন্ত্র যা দেখতে লম্বা সরু লাঠির মতন। এটির আলোক সংবেদনশীল বৈশিষ্ট্য রয়েছে যা কম্পিউটারের সিআরটি প্রদর্শনীর সহযোগে ব‍্যবহার করা হয়। 
এটি ব্যবহারকারীকে প্রদর্শনীতে দেখতে পাওয়া বস্তু নির্দেশ বা আঁকতে সাহায্য করে যেমনটা টাচস্ক্রীনে করা হয় কিন্তু এটির মাধ্যমে এই কাজটি সুক্ষতার সাথে করা যায়। 
এটি সিআরটি প্রদর্শনী সহ অন্যান্য প্রদর্শনী প্রযুক্তির সাথে কাজ করে কিন্তু এলসিডি মনিটরের সাথে লাইট পেনের ব্যবহারের ধারনাটি পরিষ্কার নয় (যদিও তোশিবা এবং হিতাচি এই প্রকারের ধারণা দেখিয়েছিল জাপানে অনুষ্ঠিত ""ডিসপ্লে ২০০৬"" নামক প্রদর্শনীতে)।
একটি লাইট পেন প্রদর্শনীর পিক্সেলের ঔজ্জ্বল্যের পরিবর্তন ধরতে পারে যখন সিআরটি প্রদর্শনীর ইলেক্ট্রন রশ্মি স্ক্যান করা হয় এবং কম্পিউটারের সাথে এই পরিবর্তনের সময় পাঠায়। 
যেহেতু সিআরটি প্রদর্শনী পুরো প্রদর্শনীর একটি পিক্সেলকে একক সময়ে স্ক্যান করে সেই কারণে কম্পিউটার আলোক কলমটির নিদির্ষ্ট স্ক্যানিং সময়ের হিসাব রাখতে পারে এবং প্রদর্শনীর বিভিন্ন জায়গায় ফেলা রশ্মির স্থান ও আলোক কলমটির স্থানের পরিবর্তন ধরতে পারে সময়ের হিসাব থেকে।",0
